Source,Target
1654,1387
4386,216
624,2395
63,300
4846,24
321,306
1321,2104
277,3740
4867,1991
4719,671
2641,4417
727,3742
1552,361
1707,1918
2326,1359
2586,2183
807,2501
3869,316
3178,70
2864,3890
253,2143
37,3812
892,2138
1055,4349
119,2626
3685,642
2051,4332
1818,2864
1052,2777
2910,449
1094,2571
2894,3468
2739,2809
4713,1462
2028,2627
1709,2541
4051,4922
4365,1498
2402,2127
4069,1041
901,4353
4748,1628
4759,4866
2208,3341
661,3320
4426,4896
982,2249
49,632
3987,4742
641,2423
2941,3043
1541,284
1108,3674
3750,4237
278,973
88,3782
4413,1576
1167,786
4073,3947
2153,4823
1751,4530
4258,4355
3145,2491
12,1115
822,4912
4856,3208
1817,3629
4431,1783
2935,2918
4803,4245
701,4205
482,2180
4536,3944
3395,2205
1021,4947
3153,1482
4064,494
2617,4421
1580,3829
334,3441
241,2813
94,3641
3411,650
2509,997
4203,3952
2300,726
3326,2180
583,3265
964,2462
2238,1473
2292,4597
2269,913
1789,70
4156,4946
4506,2723
2225,2374
4974,3402
1327,3345
4746,3721
3491,3776
2016,2586
3191,3165
4715,3989
833,3638
1551,3907
4037,3772
3458,3504
670,112
4548,2048
556,1669
2955,794
1143,3327
4091,2750
2080,4571
2226,3599
2976,1893
4439,4810
3651,1479
4084,1799
1602,4303
3676,3564
3107,2213
1757,1754
3448,129
394,2050
3578,19
1924,1628
4820,3550
1762,455
999,973
4812,4289
3965,4232
993,2784
4704,2918
1730,1234
183,4392
2682,4504
126,1269
4312,2094
2135,2625
4609,1200
321,674
4831,688
4462,2380
2322,2154
4160,378
544,1593
1344,3372
2457,3883
2612,187
3738,4418
99,3422
3916,2496
2533,3741
1128,4398
2202,1574
3690,201
2118,3650
3094,3040
2818,1080
1664,1331
2128,4921
4958,3882
1385,4734
4151,3874
4002,1911
2793,2754
4536,2280
4461,1063
2935,2408
2254,1651
4642,3725
319,2196
3231,3325
3595,746
3859,3873
1040,852
4450,4282
2066,3737
1192,68
24,1733
4797,4674
3556,4303
4406,311
2191,4317
3444,3207
764,1182
3485,1322
1146,2680
4258,284
1985,1735
607,3448
4062,407
4134,1498
2690,951
4386,2555
4784,2523
1086,4864
3017,1234
2754,4314
3032,1252
3342,4129
4667,4545
1907,3450
3831,729
885,4535
4109,1266
1738,262
700,2606
2647,1006
4050,4823
1692,2656
295,3887
403,2514
1492,1783
2614,1569
952,4619
2037,3905
2298,4268
2177,2802
3936,1186
3127,1571
2190,4256
3120,4288
2647,3157
2816,4096
1655,3907
1217,3297
1581,795
2722,4412
3280,1933
1497,4688
3709,349
300,108
598,1693
2654,4067
230,1236
4901,794
791,270
243,2452
251,337
162,2135
1699,3665
3602,1758
2409,2356
757,1563
2781,4869
2395,4119
2108,3887
1561,4817
3195,3808
2773,2331
2375,2510
3222,4278
3712,4767
1996,4154
1849,4197
3241,628
3385,899
767,1401
2218,3037
4381,3595
1148,409
953,679
4457,1232
4866,1304
2880,4976
292,636
1339,4952
1538,4956
4713,2132
1578,4511
